id,都道府県コード,名称,読み,検索文字列,住所,緯度,経度,分類1,分類2,分類3
010000062600,01,光善寺,こうぜんじ,光善寺,北海道 松前郡松前町 字松城303番地,41.431587,140.105957,施設,埋葬・信仰・宗教施設,寺院
010000062800,01,阿吽寺,あうんじ,阿吽寺,北海道 松前郡松前町 字松城371番地,41.431641,140.109726,施設,埋葬・信仰・宗教施設,寺院
010000063500,01,済衆館跡,さいしゆうかんあと,済衆館跡,北海道 松前郡松前町 字福山,41.433218,140.111395,施設,史跡・文化財・遺跡,建築物・住宅
010000064000,01,大館跡,おおだてあと,大館跡,北海道 松前郡松前町 字神明,41.434993,140.109329,施設,史跡・文化財・遺跡,建築物・住宅
010000064100,01,徳山大神宮,とくやまだいじんぐう,徳山大神宮,北海道 松前郡松前町 字神明66番地,41.434811,140.110764,施設,埋葬・信仰・宗教施設,神社
010000064800,01,正行寺,しようぎようじ,正行寺,北海道 松前郡松前町 字豊岡256番地,41.429756,140.114093,施設,埋葬・信仰・宗教施設,寺院
010000065100,01,法華寺,ほつけじ,法華寺,北海道 松前郡松前町 字豊岡258番地,41.428944,140.113495,施設,埋葬・信仰・宗教施設,寺院
010000066000,01,専念寺,せんねんじ,専念寺,北海道 松前郡松前町 字唐津267番地,41.429432,140.104355,施設,埋葬・信仰・宗教施設,寺院
010000066600,01,熊野神社,くまのじんじや,熊野神社,北海道 松前郡松前町 字大磯115番地,41.425945,140.096771,施設,埋葬・信仰・宗教施設,神社
010000067000,01,弁天神社,べんてんじんじや,弁天神社,北海道 松前郡松前町 字弁天214番地2,41.422512,140.089096,施設,埋葬・信仰・宗教施設,神社
010000067100,01,松前灯台,まつまえとうだい,松前灯台,北海道 松前郡松前町 字弁天,41.418755,140.088623,施設,史跡・文化財・遺跡,灯台
010000067700,01,小島灯台,こじまとうだい,小島灯台,北海道 松前郡松前町 字小島,41.363695,139.815187,施設,史跡・文化財・遺跡,灯台
010000068000,01,札前遺跡,さつまえいせき,札前遺跡,北海道 松前郡松前町 字札前,41.465413,140.028799,施設,史跡・文化財・遺跡,遺跡
010000068900,01,寺町貝塚,てらまちかいづか,寺町貝塚,北海道 松前郡松前町 字江良,41.544753,139.992071,施設,古墳・貝塚,貝塚
010000070800,01,白神灯台,しらかみとうだい,白神灯台,北海道 松前郡松前町 字白神,41.398111,140.197332,施設,史跡・文化財・遺跡,灯台
010000071000,01,松城学校,まつしろがつこう,松城学校,北海道 松前郡松前町 字松城,41.427731,140.110111,施設,史跡・文化財・遺跡,学校
010000071100,01,松前神社,まつまえじんじや,松前神社,北海道 松前郡松前町 字松城145番地,41.431080,140.107986,施設,埋葬・信仰・宗教施設,神社
010000072900,01,福島大神宮,ふくしまだいじんぐう,福島大神宮,北海道 松前郡福島町 字福島219番地,41.480011,140.251312,施設,埋葬・信仰・宗教施設,神社
010000073000,01,法界寺,ほうかいじ,法界寺,北海道 松前郡福島町 字福島242番地,41.480011,140.251312,施設,埋葬・信仰・宗教施設,寺院
010000073800,01,穏内館跡,おんないだてあと,穏内館跡,北海道 松前郡福島町 字館崎,41.440059,140.218721,施設,史跡・文化財・遺跡,建築物・住宅
010000074900,01,雷公神社,らいこうじんじや,雷公神社,北海道 上磯郡知内町 字元町322番地,41.596493,140.413437,施設,埋葬・信仰・宗教施設,神社
010000075000,01,大乗寺,だいじようじ,大乗寺,北海道 上磯郡知内町 字元町282番地,41.595375,140.414963,施設,埋葬・信仰・宗教施設,寺院
010000075200,01,湯の里４遺跡,ゆのさとよんいせき,湯の里４遺跡,北海道 上磯郡知内町 字湯ノ里,41.601428,140.336768,施設,史跡・文化財・遺跡,遺跡
010000076000,01,佐女川神社,さめかわじんじや,佐女川神社,北海道 上磯郡木古内町 字木古内157番地,41.681511,140.431305,施設,埋葬・信仰・宗教施設,神社
010000076100,01,新道４遺跡,しんみちよんいせき,新道４遺跡,北海道 上磯郡木古内町 字新道,41.663216,140.425751,施設,史跡・文化財・遺跡,遺跡
010000076400,01,昌源寺,しようげんじ,昌源寺,北海道 上磯郡木古内町 字札苅301番地,41.698822,140.472375,施設,埋葬・信仰・宗教施設,寺院
010000076500,01,札苅遺跡,さつかりいせき,札苅遺跡,北海道 上磯郡木古内町 字札苅,41.699224,140.467951,施設,史跡・文化財・遺跡,遺跡
010000076700,01,大泉寺,だいせんじ,大泉寺,北海道 上磯郡木古内町 字泉沢310番地,41.701901,140.513081,施設,埋葬・信仰・宗教施設,寺院
010000077400,01,トラピスト修道院,とらぴすとしゆうどういん,トラピスト修道院,北海道 北斗市 三ツ石,41.740286,140.569213,施設,埋葬・信仰・宗教施設,教会
010000077800,01,曹渓寺,そうけいじ,曹渓寺,北海道 北斗市 茂辺地四丁目4番37号,41.766529,140.598129,施設,埋葬・信仰・宗教施設,寺院
010000078000,01,矢不来天満宮,やふらいてんまんぐう,矢不来天満宮,北海道 北斗市 矢不来138番地,41.770113,140.605169,施設,埋葬・信仰・宗教施設,神社
010000078100,01,茂別館跡,もべつだてあと,茂別館跡,北海道 北斗市 矢不来,41.770471,140.603821,施設,史跡・文化財・遺跡,建築物・住宅
010000078200,01,矢不来台場跡,やふらいだいばあと,矢不来台場跡,北海道 上磯郡木古内町 字幸連,41.734713,140.445380,施設,城・軍事施設,台場跡
010000078300,01,茂別遺跡,もべついせき,茂別遺跡,北海道 上磯郡木古内町 字幸連,41.734713,140.445380,施設,史跡・文化財・遺跡,遺跡
